1,13
2,13
3,13
4,13
5,13
6,13
,14
,14
,15
,15
,16
,16
,16
,17
,17
2,17
,17
3,17
,17
,18
,18
,18
,19
,19
6,19
,19
,19
,20
,20
,21
5,21
6,21
,21
7,21
8,21
,22
,22
,22
2,23
,23
,23
7,23
,23
16,23
,24
,24
,24
,25
,25
118,25
,25
,25
20,25
110,26
,26
22,26
111,27
23,27
24,27
,28
25,29
26,29
27,29
284,29
29,29
30,29
31,29
32,29
33,29
34,29
35,29
36,29
37,30
38,30
39,30
40,30
1,30
2,30
43,30
44,30
45,30
0,30
47,30
48,30
49,30
50,30
51,30
52,30
53,31
54,31
55,31
56,31
57,31
58,31
59,31
60,31
61,31
62,31
63,31
64,31
65,31
66,31
67,31
68,31
69,31
70,31
71,32
12,32
13,32
74,32
15,32
76,32
7,32
8,32
79,32
80,32
81,32
82,32
83,32
84,32
85,32
,33
87,33
,33
89,33
90,33
91,33
92,33
93,33
,33
,33
,33
7,33
98,33
199,33
100,33
101,34
102,34
,34
104,34
105,34
,34
107,34
108,34
109,34
,35
111,35
112,35
113,35
,35
115,35
116,35
117,36
118,36
119,36
120,36
,36
122,36
123,36
124,37
125,37
126,37
2127,37
,37
,37
,38
,38
,38
,38
,38
1,39
,40
,40
,40
5,40
5,40
,40
,40
,40
20,40
7,41
,41
145,41
146,41
,42
,42
,42
150,42
,42
152,42
153,42
,43
1155,43
156,43
,43
158,43
159,43
,43
,43
,44
,45
32,46
,47
17,49
2,49
3,49
4,49
,50
,50
,51
,51
,51
,52
,52
,52
,53
,53
2,53
,54
,54
,54
74,54
3,55
,55
,55
,55
,55
,55
,56
1,56
,57
,57
,57
,57
10,57
11,57
,58
,58
,58
,58
2,59
,59
13,59
,59
,59
15,59
,60
,60
17,60
18,60
19,60
2,61
,61
21,61
22,61
,61
,62
25,63
26,63
27,63
28,63
29,63
30,63
,64
32,64
,64
,64
35,64
,64
,64
,64
,64
40,65
41,65
42,65
3,65
4,65
47,65
48,65
49,65
50,65
,66
524,66
153,66
54,66
55,66
56,66
,66
58,66
59,66
60,66
61,66
62,66
,67
,67
65,67
66,67
,67
,67
69,67
70,67
71,67
72,67
73,67
74,67
15,67
76,67
,67
18,68
79,68
80,68
81,68
82,68
83,68
84,68
85,68
,68
,68
88,68
89,68
90,69
91,69
,69
,69
4,69
195,69
96,69
97,69
98,69
,69
100,69
101,69
,69
,70
,70
,70
106,70
,71
,72
01072,72
72,72
3,72
,72
3429,72
26142,72
13,72
100,72
0,72
,73
117,73
,73
119,73
,73
,73
122,74
,74
,74
,74
,74
,74
,74
1129,75
130,75
,75
132,75
133,75
,76
,76
1361,76
,76
138,76
,76
,78
,79
,81
,81
3,81
,81
5,81
4,82
,83
,83
,84
,84
,85
,85
2,85
,85
3,85
,85
,86
,86
,86
,87
5,87
6,87
,87
,87
,88
,88
10,88
,89
,89
12,89
13,89
14,89
49,90
15,91
16,91
19,91
20,91
21,91
22,91
23,91
24,91
25,91
26,91
,92
28,92
29,92
1,92
31,92
32,92
33,92
,92
35,92
36,93
37,93
38,93
39,93
7,93
8,93
7,93
8,93
4,93
5,93
6,93
47,93
48,93
49,93
50,94
51,94
52,94
53,94
54,94
55,94
56,94
57,94
58,94
,95
60,95
61,95
62,95
