1.0-v
1,16,60005
,16,60006
3,16,60007
4,16,60008
570,16,60009
6,16,60010
7,16,60011
8,16,60012
9,16,60013
,16,60014
,16,60015
,16,60016
85,16,60017
1491,16,60018
,17,60019
,17,60020
,17,60021
18,17,60022
,17,60023
25,17,60024
21,17,60025
22,17,60026
,17,60027
,17,60028
25,17,60029
,18,60030
54,18,60031
55,18,60032
,18,60033
307,18,60034
315,18,60035
,18,60036
,18,60037
34,18,60038
8,18,60039
36,18,60040
3785,18,60041
,18,60042
395,18,60043
40,18,60044
,18,60045
,19,60046
,19,60047
,19,60048
,19,60049
,19,60050
11,19,60051
48,19,60052
,19,60053
,19,60054
5179,19,60055
,19,60056
,20,60057
,20,60058
,20,60059
,20,60060
57,20,60061
,20,60062
59,20,60063
,22,60064
,22,60065
,23,60066
,23,60067
,24,60068
,24,60069
,24,60070
,25,60071
,25,60072
,25,60073
,26,60074
,26,60075
,26,60076
,26,60077
,26,60078
,26,60079
,26,60080
1,27,60081
212,27,60082
3,27,60083
4,27,60084
5,27,60085
6,27,60086
7,27,60087
8,27,60088
9,27,60089
10,27,60090
,27,60091
,27,60092
137,27,60093
,27,60094
,27,60095
,28,60096
,28,60097
,28,60098
,28,60099
,28,60100
,28,60101
227,28,60102
,28,60103
,28,60104
,28,60105
,28,60106
27,28,60107
,28,60108
,28,60109
,29,60110
,29,60111
,29,60112
,29,60113
,29,60114
,29,60115
,29,60116
37,29,60117
,30,60118
,30,60119
,30,60120
,30,60121
,30,60122
,30,60123
,30,60124
45,30,60125
7,30,60126
47,30,60127
48,30,60128
,30,60129
,30,60130
,30,60131
,30,60132
,31,60133
,31,60134
,31,60135
,31,60136
57,31,60137
78,31,60138
,31,60139
,31,60140
1,31,60141
,31,60142
63,31,60143
,32,60144
,32,60145
,32,60146
,32,60147
,32,60148
,32,60149
,32,60150
,32,60151
,33,60152
,33,60153
,33,60154
,33,60155
768,33,60156
6,33,60157
,34,60158
,34,60159
,34,60160
,36,60161
,36,60162
,37,60163
,38,60164
,38,60165
,38,60166
,39,60167
,39,60168
,39,60169
,40,60170
,40,60171
,40,60172
,40,60173
,40,60174
,40,60175
,40,60176
,41,60177
2,41,60178
,41,60179
4,41,60180
,41,60181
6,41,60182
7,41,60183
,42,60184
9,42,60185
,42,60186
,42,60187
,42,60188
,42,60189
,42,60190
,43,60191
,43,60192
,43,60193
,43,60194
,43,60195
,43,60196
,43,60197
,43,60198
,43,60199
,43,60200
,43,60201
,44,60202
27,44,60203
,44,60204
29,44,60205
,44,60206
,44,60207
,44,60208
17,44,60209
,45,60210
,45,60211
,45,60212
,45,60213
,45,60214
,45,60215
,45,60216
,45,60217
,45,60218
,45,60219
,46,60220
,46,60221
,46,60222
,46,60223
,46,60224
,46,60225
,46,60226
,47,60227
,47,60228
,47,60229
,47,60230
,47,60231
,47,60232
3,47,60233
,48,60234
,48,60235
,50,60236
,50,60237
,51,60238
,52,60239
,52,60240
,52,60241
,52,60242
,53,60243
,53,60244
,54,60245
,54,60246
,54,60247
5,54,60248
,54,60249
,54,60250
,54,60251
1,55,60252
2,55,60253
3,55,60254
4,55,60255
5,55,60256
,55,60257
7,55,60258
89,55,60259
,55,60260
,55,60261
,55,60262
,55,60263
,56,60264
,56,60265
155,56,60266
,56,60267
,56,60268
,56,60269
,56,60270
,56,60271
215,56,60272
22,56,60273
,56,60274
,56,60275
15365,56,60276
,57,60277
27,57,60278
,57,60279
,57,60280
,57,60281
,57,60282
,57,60283
,58,60284
,58,60285
,58,60286
,58,60287
,58,60288
38,58,60289
39,58,60290
40,58,60291
,58,60292
,59,60293
43,59,60294
,59,60295
45,59,60296
46,59,60297
47,59,60298
,59,60299
,59,60300
,59,60301
,59,60302
,60,60303
,60,60304
,60,60305
,60,60306
,60,60307
57,60,60308
,60,60309
59,60,60310
,60,60311
,61,60312
,61,60313
,61,60314
,61,60315
,61,60316
,62,60317
,62,60318
,64,60319
,64,60320
,65,60321
,65,60322
,66,60323
,66,60324
,66,60325
,67,60326
,67,60327
,67,60328
,68,60329
,68,60330
,68,60331
,68,60332
,68,60333
,68,60334
,68,60335
16,69,60336
,69,60337
345,69,60338
4,69,60339
5,69,60340
6,69,60341
785,69,60342
8,69,60343
,69,60344
43,69,60345
43,69,60346
87,69,60347
13,69,60348
14,70,60349
,70,60350
,70,60351
17,70,60352
,70,60353
,70,60354
20,70,60355
210,70,60356
,70,60357
,70,60358
,70,60359
86,70,60360
,70,60361
,71,60362
,71,60363
,71,60364
30,71,60365
315,71,60366
320,71,60367
,71,60368
,72,60369
,72,60370
,72,60371
,72,60372
,72,60373
,72,60374
7,72,60375
41,72,60376
,72,60377
43,72,60378
,72,60379
,73,60380
46,73,60381
47,73,60382
,73,60383
,73,60384
50,73,60385
510,73,60386
,73,60387
,74,60388
,74,60389
,74,60390
,74,60391
,74,60392
58,74,60393
,74,60394
,75,60395
,75,60396
,75,60397
,75,60398
64,75,60399
3730,76,60400
1,76,60401
21,76,60402
,78,60403
,78,60404
,79,60405
,79,60406
,80,60407
,80,60408
,81,60409
,81,60410
,82,60411
,82,60412
,82,60413
,82,60414
,82,60415
,82,60416
,82,60417
6,82,60418
,83,60419
2,83,60420
34,83,60421
,83,60422
52,83,60423
6107,83,60424
,83,60425
,83,60426
9,83,60427
,83,60428
,83,60429
12,84,60430
13,84,60431
,84,60432
,84,60433
16,84,60434
,84,60435
,84,60436
,84,60437
20,84,60438
,84,60439
,85,60440
230,85,60441
,85,60442
,85,60443
,85,60444
27,85,60445
,85,60446
,85,60447
,85,60448
315,85,60449
3254,85,60450
,85,60451
,85,60452
,86,60453
,86,60454
37,86,60455
,86,60456
39,86,60457
40,86,60458
,86,60459
,86,60460
,86,60461
,86,60462
145,86,60463
,86,60464
,87,60465
,87,60466
33,87,60467
,87,60468
51,87,60469
,87,60470
,87,60471
544,87,60472
,87,60473
56,87,60474
,88,60475
,88,60476
598,88,60477
,88,60478
,88,60479
,89,60480
,89,60481
,89,60482
,89,60483
,89,60484
6780,89,60485
,89,60486
69,89,60487
,90,60488
,90,60489
,92,60490
,92,60491
,93,60492
,93,60493
,94,60494
,94,60495
,94,60496
,94,60497
