1.0-v
1,15,90000
2,15,90001
3,15,90002
4,15,90003
,16,90006
,16,90007
,17,90008
,17,90009
1,19,90015
2,19,90016
3,19,90017
4,21,90024
5,21,90025
6,21,90026
7,21,90027
7,21,90028
8,21,90029
,22,90030
,22,90031
,22,90032
2,23,90033
9,23,90034
10,23,90035
11,23,90036
11,23,90037
12,23,90038
13,24,90039
13,25,90045
14,25,90046
15,25,90047
15,25,90048
16,25,90049
,26,90050
,26,90051
18,26,90052
310,27,90053
19,27,90054
20,27,90055
,28,90056
21,29,90057
22,29,90058
23,29,90059
24,29,90060
25,29,90061
26,29,90062
27,29,90063
28,29,90064
29,29,90065
30,29,90066
31,29,90067
32,30,90068
33,30,90069
34,30,90070
35,30,90071
36,30,90072
37,30,90073
38,30,90074
39,30,90075
40,30,90076
41,30,90077
42,30,90078
3,30,90079
4,31,90080
65,31,90081
46,31,90082
47,31,90083
48,31,90084
49,31,90085
50,31,90086
51,31,90087
52,31,90088
53,31,90089
54,31,90090
55,31,90091
56,31,90092
57,31,90093
58,31,90094
59,31,90095
60,32,90096
61,32,90097
62,32,90098
163,32,90099
64,32,90100
65,32,90101
66,32,90102
67,32,90103
68,33,90104
69,33,90105
45,33,90106
71,33,90107
72,33,90108
73,33,90109
74,33,90110
75,34,90111
,34,90112
7,34,90113
,35,90114
,35,90115
,35,90116
81,36,90117
82,36,90118
83,36,90119
84,36,90120
85,36,90121
,37,90122
85,38,90131
86,38,90132
87,38,90133
90,38,90136
91,38,90137
9,38,90138
9,38,90139
94,39,90140
95,39,90141
96,39,90142
3,41,90148
4,41,90149
5,41,90150
,42,90151
,42,90152
3,43,90153
,43,90154
,44,90155
,44,90156
,44,90157
,45,90158
,45,90159
2,45,90160
,46,90161
,46,90162
,46,90163
3,47,90165
4,47,90166
5,47,90167
,48,90170
,48,90171
,48,90172
,49,90173
,49,90174
,49,90175
8,51,90180
9,51,90181
10,51,90182
11,51,90183
,52,90184
,52,90185
,53,90186
,53,90187
,53,90188
17,54,90189
,54,90190
15,54,90191
,55,90192
,55,90193
17,55,90194
,56,90195
118,57,90196
119,57,90197
20,57,90198
21,57,90199
22,57,90200
23,57,90201
26,57,90202
25,58,90203
26,58,90204
27,58,90205
28,58,90206
29,58,90207
30,58,90208
31,58,90209
32,58,90210
33,58,90211
34,58,90212
35,58,90213
36,58,90214
37,59,90215
38,59,90216
139,59,90217
40,59,90218
41,59,90219
45,59,90223
46,59,90224
47,60,90225
48,60,90226
49,60,90227
51,60,90229
52,60,90230
53,60,90231
54,60,90232
55,61,90233
56,61,90234
,61,90235
,62,90236
,62,90237
,62,90238
,63,90239
62,63,90240
63,63,90241
,64,90242
,64,90243
66,64,90244
,65,90245
1,66,90252
2,66,90253
24,66,90254
223,66,90255
224,66,90256
729,66,90257
721,66,90258
1,66,90259
0,66,90260
1,66,90261
76,67,90262
77,67,90263
78,67,90264
79,67,90265
2,69,90271
3,69,90272
4,69,90273
5,69,90274
4,70,90275
,70,90276
2,71,90277
,71,90278
285,72,90283
286,73,90284
287,73,90285
2,73,90286
3,73,90287
4,73,90288
4,75,90293
5,75,90294
6,75,90295
7,75,90296
7,75,90297
8,75,90298
,76,90299
,76,90300
,76,90301
28,77,90302
9,77,90303
10,77,90304
11,77,90305
11,77,90306
12,77,90307
6,78,90308
,78,90309
,78,90310
17,79,90311
15,79,90312
16,79,90313
,80,90314
19,81,90317
20,81,90318
21,81,90319
22,81,90320
23,81,90321
24,81,90322
25,81,90323
26,81,90324
27,81,90325
28,81,90326
29,81,90327
30,81,90328
31,82,90329
32,82,90330
33,82,90331
34,82,90332
35,82,90333
36,82,90334
37,82,90335
38,82,90336
39,82,90337
40,82,90338
1,82,90339
42,82,90340
43,82,90341
4,83,90342
5,83,90343
47,83,90345
48,83,90346
49,83,90347
50,83,90348
51,83,90349
52,83,90350
53,83,90351
54,83,90352
55,84,90353
56,84,90354
57,84,90355
58,84,90356
59,84,90357
60,84,90358
61,84,90359
62,84,90360
63,84,90361
64,84,90362
65,84,90363
66,84,90364
67,85,90365
68,85,90366
169,85,90367
10,85,90368
11,85,90369
12,85,90370
,86,90371
,86,90372
,86,90373
,87,90374
410,88,90377
411,88,90378
1,88,90379
1,88,90380
1,88,90381
2,88,90382
7,88,90383
8,88,90384
9,88,90385
7,88,90386
8,88,90387
9,89,90388
87,89,90389
88,89,90390
3,91,90395
4,91,90396
5,91,90397
6,91,90398
,92,90399
,93,90400
0,94,90406
1,95,90407
2,95,90408
2,95,90409
3,95,90410
,96,90413
,96,90414
,96,90415
5,97,90417
6,97,90418
7,97,90419
7,97,90420
8,97,90421
1,98,90422
2,98,90423
944,99,90427
945,99,90428
10,99,90429
2,99,90430
41,99,90431
42,99,90432
,100,90433
,100,90434
14,100,90435
15,101,90436
15,101,90437
16,101,90438
17,101,90439
,102,90440
19,103,90442
20,103,90443
21,103,90444
22,103,90445
23,103,90446
24,103,90447
251,104,90448
26,104,90449
27,104,90450
28,104,90451
29,104,90452
7,104,90453
31,104,90454
32,104,90455
33,104,90456
341,104,90457
35,104,90458
36,104,90459
37,104,90460
38,104,90461
39,104,90462
40,104,90463
1,104,90464
2,104,90465
48,105,90471
49,105,90472
50,105,90473
52,105,90475
53,105,90476
54,105,90477
55,105,90478
56,106,90479
57,106,90480
58,106,90481
59,106,90482
60,107,90483
61,107,90484
162,107,90485
63,107,90486
64,107,90487
65,107,90488
66,108,90489
67,108,90490
68,108,90491
69,108,90492
70,108,90493
10,109,90494
11,110,90503
525,110,90504
14,110,90505
27,110,90506
1,110,90507
2,110,90508
76,110,90509
77,111,90510
3,111,90511
4,111,90512
36,111,90513
37,111,90514
38,113,90515
2,113,90516
3,113,90517
4,113,90518
5,113,90519
6,113,90520
,114,90521
,114,90522
,115,90523
,116,90524
,116,90525
,116,90526
1,117,90528
2,117,90529
3,117,90530
3,117,90531
4,117,90532
2,118,90536
3,119,90537
54,119,90538
55,119,90539
,120,90543
,120,90544
93,121,90545
94,121,90546
10,121,90547
11,121,90548
11,121,90549
12,121,90550
,122,90551
,122,90552
,122,90553
,123,90554
